"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","订单管理","临调订单——创建临调单","0","0","24","0","0"
"","采购管理","调拨单","0","20","0","0","0"
"","物资管理","创建物资","0","0","44","0","0"
"","订单管理","临调订单——编辑临调单","0","0","31","0","0"
"","订单管理","临调订单——修改默认地址","0","0","10","0","0"
"","物资管理","创建工具包","0","0","18","0","0"
"","订单管理","临调订单——创建默认地址","0","0","7","0","0"
"","订单管理","临调订单——接收临调单","0","0","12","0","0"
"","物资管理","创建加工组包","0","3","0","0","0"
"","物资管理","加工组包","0","3","3","0","0"
"","订单管理","临调订单——修改收货地址","0","7","0","0","0"
"","物资管理","添加工具","0","0","3","0","0"
"","订单管理","临调订单——设置默认地址","0","0","2","0","0"
"","订单管理","临调订单——拒绝临调单","0","0","6","0","0"
"","订单管理","临调订单——关闭临调单","0","0","3","0","0"
